connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_continent_code,connection_spec_client_geolocation_city,connection_spec_client_geolocation_metro_code,connection_spec_client_ip,web100_log_entry_connection_spec_remote_ip,connection_spec_client_geolocation_longitude,connection_spec_client_geolocation_region,connection_spec_client_geolocation_country_code
,,,,,72.234.17.31,,,
,,,,,63.100.136.74,,,
,,,,,184.175.154.227,,,
,,,,,67.181.27.240,,,
,,,,,74.95.100.10,,,
,,,,,24.111.72.122,,,
,,,,,75.149.145.162,,,
,,,,,69.178.223.132,,,
,,,,,209.243.8.14,,,
,,,,,165.234.180.54,,,
,,,,,72.105.145.137,,,
,,,,,72.234.17.31,,,
,,,,,75.149.145.162,,,
41.26279830932617,NA,Omaha,652,74.126.55.198,74.126.55.198,-96.11640167236328,NE,US
,,,,,66.163.146.20,,,
,,,,,72.198.180.142,,,
,,,,,216.110.24.250,,,
,,,,,173.9.157.141,,,
,,,,,209.113.166.55,,,
,,,,,66.173.92.154,,,
,,,,,99.186.252.193,,,
55.57500076293945,EU,Murom,0,217.118.93.81,217.118.93.81,42.042598724365234,83,RU
,,,,,71.180.90.219,,,
27.89590072631836,NA,Clearwater,539,198.77.226.145,198.77.226.145,-82.6719970703125,FL,US
,,,,,50.192.252.30,,,
,,,,,75.146.183.209,,,
60.0,NA,,0,204.191.99.147,204.191.99.147,-95.0,,CA
,,,,,23.25.197.225,,,
,,,,,198.189.134.111,,,
38.0,NA,,0,12.130.174.9,12.130.174.9,-97.0,,US
,,,,,67.129.68.225,,,
,,,,,96.252.180.91,,,
,,,,,146.200.13.243,,,
,,,,,73.41.216.207,,,
,,,,,98.248.24.138,,,
,,,,,96.238.223.24,,,
,,,,,69.181.174.153,,,
,,,,,69.40.41.190,,,
,,,,,64.118.101.98,,,
,,,,,70.199.146.146,,,
24.466699600219727,AS,Abu Dhabi,0,2.50.161.88,2.50.161.88,54.36669921875,01,AE
,,,,,50.131.51.164,,,
,,,,,69.181.174.153,,,
,,,,,69.181.174.153,,,
1.2930999994277954,AS,Singapore,0,103.252.201.88,103.252.201.88,103.85579681396484,00,SG
,,,,,98.141.140.38,,,
,,,,,4.53.133.38,,,
,,,,,71.84.171.136,,,
33.420101165771484,NA,Birmingham,630,97.65.11.165,97.65.11.165,-86.78669738769531,AL,US
,,,,,108.235.1.174,,,
,,,,,173.221.148.178,,,
,,,,,93.114.35.112,,,
,,,,,98.207.86.250,,,
,,,,,209.51.239.146,,,
,,,,,204.246.122.65,,,
,,,,,98.207.86.250,,,
,,,,,108.28.123.82,,,
,,,,,66.91.174.106,,,
,,,,,216.139.57.102,,,
,,,,,98.248.93.48,,,
,,,,,107.208.12.57,,,
,,,,,71.198.44.210,,,
,,,,,96.38.158.140,,,
,,,,,71.92.86.235,,,
,,,,,162.219.176.218,,,
