connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_continent_code,connection_spec_client_geolocation_city,connection_spec_client_geolocation_metro_code,connection_spec_client_ip,web100_log_entry_connection_spec_remote_ip,connection_spec_client_geolocation_longitude,connection_spec_client_geolocation_region,connection_spec_client_geolocation_country_code
,,,,,173.179.207.252,,,
,,,,,76.68.137.236,,,
,,,,,99.238.136.144,,,
,,,,,65.94.36.250,,,
,,,,,142.68.116.132,,,
,,,,,142.167.97.250,,,
,,,,,67.193.200.233,,,
,,,,,74.210.134.214,,,
,,,,,47.54.219.254,,,
,,,,,108.59.8.182,,,
,,,,,184.144.104.149,,,
,,,,,174.94.79.35,,,
,,,,,216.113.119.42,,,
,,,,,72.39.13.96,,,
,,,,,174.94.79.35,,,
,,,,,99.241.133.57,,,
,,,,,96.20.222.54,,,
,,,,,96.20.222.54,,,
,,,,,67.240.179.23,,,
,,,,,142.68.7.183,,,
,,,,,74.210.134.214,,,
,,,,,142.68.7.183,,,
,,,,,135.23.253.244,,,
,,,,,206.188.66.59,,,
,,,,,24.212.155.43,,,
,,,,,74.210.134.214,,,
,,,,,96.20.222.54,,,
,,,,,24.89.229.77,,,
,,,,,99.247.84.128,,,
,,,,,24.114.101.111,,,
,,,,,173.252.8.98,,,
,,,,,24.150.188.17,,,
,,,,,173.34.76.179,,,
45.507999420166016,NA,Montr�al,0,68.168.122.152,68.168.122.152,-73.55400085449219,QC,CA
,,,,,67.244.156.120,,,
,,,,,74.12.125.143,,,
,,,,,72.73.66.95,,,
,,,,,67.240.179.23,,,
,,,,,24.157.249.207,,,
,,,,,173.206.70.85,,,
,,,,,24.157.249.207,,,
,,,,,67.242.43.184,,,
,,,,,76.68.46.238,,,
,,,,,76.71.210.13,,,
46.85689926147461,NA,Qu�bec,0,64.229.109.126,64.229.109.126,-71.35060119628906,QC,CA
,,,,,67.230.141.98,,,
,,,,,24.157.249.207,,,
,,,,,70.105.228.88,,,
,,,,,207.96.205.14,,,
44.31060028076172,NA,Augusta,500,70.105.237.8,70.105.237.8,-69.77950286865234,ME,US
,,,,,174.94.79.35,,,
,,,,,174.94.79.35,,,
,,,,,76.71.210.13,,,
45.47809982299805,NA,Montr�al,0,65.95.33.6,65.95.33.6,-73.62519836425781,QC,CA
,,,,,173.206.70.85,,,
,,,,,24.157.249.207,,,
45.507999420166016,NA,Montr�al,0,68.168.122.152,68.168.122.152,-73.55400085449219,QC,CA
,,,,,24.141.23.177,,,
,,,,,70.81.137.186,,,
,,,,,24.157.249.207,,,
,,,,,24.157.249.207,,,
,,,,,65.92.159.253,,,
,,,,,24.157.249.207,,,
,,,,,47.55.206.196,,,
,,,,,184.147.20.121,,,
,,,,,173.206.28.107,,,
,,,,,174.94.79.35,,,
,,,,,184.163.163.243,,,
,,,,,76.10.148.50,,,
,,,,,70.81.137.186,,,
,,,,,216.246.236.237,,,
,,,,,99.226.126.250,,,
,,,,,76.67.187.27,,,
,,,,,24.48.8.30,,,
,,,,,23.91.157.146,,,
,,,,,24.77.17.80,,,
,,,,,99.226.237.242,,,
,,,,,173.178.187.133,,,
,,,,,142.176.125.146,,,
,,,,,70.55.43.35,,,
,,,,,173.206.14.86,,,
,,,,,216.252.81.96,,,
,,,,,70.51.32.20,,,
,,,,,24.215.90.98,,,
,,,,,67.204.222.208,,,
,,,,,24.215.90.98,,,
,,,,,174.94.79.35,,,
,,,,,174.94.79.35,,,
,,,,,70.51.32.20,,,
,,,,,173.206.68.201,,,
,,,,,24.215.90.98,,,
,,,,,72.53.125.253,,,
,,,,,69.171.147.163,,,
,,,,,173.206.68.201,,,
,,,,,162.239.112.187,,,
45.817298889160156,NA,Pembroke,0,70.48.183.147,70.48.183.147,-77.11740112304688,ON,CA
,,,,,70.24.238.114,,,
,,,,,96.20.104.112,,,
,,,,,50.122.211.170,,,
,,,,,156.34.152.235,,,
,,,,,174.115.122.237,,,
,,,,,99.226.18.105,,,
,,,,,173.34.53.180,,,
,,,,,135.23.116.245,,,
,,,,,99.227.214.23,,,
,,,,,50.122.211.170,,,
43.644100189208984,NA,Toronto,0,63.142.161.8,63.142.161.8,-79.38009643554688,ON,CA
,,,,,96.22.81.202,,,
,,,,,208.101.108.173,,,
,,,,,191.190.48.72,,,
49.0,EU,,0,176.126.162.34,176.126.162.34,32.0,,UA
,,,,,99.226.18.105,,,
,,,,,24.203.158.51,,,
,,,,,173.34.53.180,,,
,,,,,162.219.176.50,,,
,,,,,173.206.234.48,,,
,,,,,135.19.232.35,,,
,,,,,24.200.46.182,,,
,,,,,209.195.107.231,,,
,,,,,65.95.32.163,,,
,,,,,99.224.167.46,,,
,,,,,71.232.4.184,,,
,,,,,71.232.4.184,,,
,,,,,74.56.34.28,,,
,,,,,179.179.212.64,,,
,,,,,184.75.214.170,,,
,,,,,70.52.28.194,,,
,,,,,76.71.227.58,,,
,,,,,50.100.249.153,,,
,,,,,76.71.227.58,,,
,,,,,24.246.74.209,,,
,,,,,24.201.213.115,,,
,,,,,184.75.214.170,,,
,,,,,99.244.64.73,,,
,,,,,99.234.204.33,,,
,,,,,174.94.5.26,,,
,,,,,184.75.223.218,,,
,,,,,24.212.147.235,,,
,,,,,74.210.183.146,,,
,,,,,207.134.203.25,,,
,,,,,65.92.156.102,,,
,,,,,96.22.209.112,,,
,,,,,173.206.14.86,,,
,,,,,69.165.146.115,,,
,,,,,67.55.8.41,,,
,,,,,173.35.240.43,,,
,,,,,173.206.14.86,,,
,,,,,70.80.172.171,,,
,,,,,99.234.238.139,,,
,,,,,24.150.86.246,,,
,,,,,173.206.14.86,,,
,,,,,99.227.238.235,,,
,,,,,99.224.167.46,,,
,,,,,96.20.222.54,,,
,,,,,67.242.43.184,,,
,,,,,174.138.194.72,,,
,,,,,174.93.215.207,,,
,,,,,142.177.142.22,,,
,,,,,96.23.166.69,,,
,,,,,173.206.14.86,,,
,,,,,68.235.189.184,,,
,,,,,50.101.205.32,,,
45.50299835205078,NA,Montr�al,0,132.208.73.135,132.208.73.135,-73.56790161132812,QC,CA
,,,,,173.178.187.133,,,
60.0,EU,,0,5.141.198.254,5.141.198.254,100.0,,RU
,,,,,216.154.124.231,,,
,,,,,70.30.195.75,,,
,,,,,184.160.240.203,,,
,,,,,205.209.77.153,,,
,,,,,216.154.124.231,,,
,,,,,184.75.213.202,,,
,,,,,99.242.114.52,,,
,,,,,99.242.114.52,,,
,,,,,99.242.114.52,,,
,,,,,184.144.193.163,,,
,,,,,99.235.176.29,,,
,,,,,24.212.202.13,,,
,,,,,173.179.18.129,,,
60.0,EU,,0,5.141.223.151,5.141.223.151,100.0,,RU
,,,,,74.56.34.28,,,
,,,,,50.101.211.70,,,
,,,,,174.117.119.95,,,
,,,,,24.142.31.154,,,
60.0,EU,,0,5.141.223.151,5.141.223.151,100.0,,RU
,,,,,99.235.176.29,,,
,,,,,69.171.146.185,,,
,,,,,66.130.217.47,,,
60.0,EU,,0,5.141.62.182,5.141.62.182,100.0,,RU
,,,,,65.92.184.75,,,
,,,,,47.55.210.223,,,
45.41270065307617,NA,Ottawa,0,67.213.80.97,67.213.80.97,-75.67420196533203,ON,CA
,,,,,70.31.13.121,,,
,,,,,70.31.13.121,,,
,,,,,174.94.77.16,,,
,,,,,142.68.249.228,,,
,,,,,24.212.172.145,,,
,,,,,99.246.216.111,,,
,,,,,24.215.80.146,,,
,,,,,173.176.174.136,,,
,,,,,99.227.160.20,,,
,,,,,142.134.22.188,,,
46.04759979248047,NA,Sorel,0,65.92.165.204,65.92.165.204,-73.12629699707031,QC,CA
60.0,NA,,0,100.43.113.171,100.43.113.171,-95.0,,CA
,,,,,173.178.187.133,,,
,,,,,74.58.164.56,,,
,,,,,99.226.18.105,,,
,,,,,142.0.23.102,,,
,,,,,99.226.18.105,,,
,,,,,174.138.192.77,,,
,,,,,99.226.18.105,,,
,,,,,74.15.142.78,,,
,,,,,24.201.48.54,,,
60.0,NA,,0,100.43.113.171,100.43.113.171,-95.0,,CA
,,,,,99.226.18.105,,,
,,,,,99.226.18.105,,,
43.644100189208984,NA,Toronto,0,63.142.161.7,63.142.161.7,-79.38009643554688,ON,CA
,,,,,70.81.35.93,,,
,,,,,24.201.48.54,,,
,,,,,69.92.110.34,,,
,,,,,142.217.15.209,,,
,,,,,74.75.153.218,,,
,,,,,47.55.189.154,,,
,,,,,76.10.162.75,,,
,,,,,74.209.46.175,,,
,,,,,65.92.156.186,,,
45.56850051879883,NA,Boucherville,0,65.94.254.154,65.94.254.154,-73.4229965209961,QC,CA
,,,,,209.197.166.4,,,
,,,,,65.92.156.186,,,
,,,,,174.117.38.252,,,
,,,,,70.54.75.12,,,
,,,,,72.224.173.50,,,
,,,,,206.47.30.213,,,
,,,,,75.119.238.77,,,
,,,,,65.92.156.186,,,
45.33330154418945,NA,Kanata,0,23.233.25.69,23.233.25.69,-75.9000015258789,ON,CA
,,,,,24.215.90.98,,,
,,,,,47.54.200.30,,,
,,,,,198.84.213.234,,,
,,,,,206.248.160.171,,,
,,,,,206.248.160.171,,,
,,,,,67.230.141.98,,,
,,,,,184.161.70.14,,,
,,,,,173.176.159.50,,,
,,,,,174.93.215.207,,,
,,,,,173.176.159.50,,,
,,,,,207.136.208.194,,,
,,,,,135.23.93.144,,,
,,,,,142.177.179.147,,,
,,,,,47.55.86.85,,,
,,,,,174.93.215.207,,,
,,,,,65.92.156.186,,,
,,,,,216.239.74.204,,,
,,,,,96.20.104.112,,,
,,,,,173.179.68.78,,,
,,,,,216.239.74.204,,,
,,,,,96.30.158.121,,,
,,,,,174.93.215.207,,,
,,,,,24.225.202.18,,,
,,,,,135.23.93.144,,,
,,,,,99.248.120.252,,,
,,,,,70.29.237.43,,,
,,,,,65.92.156.186,,,
,,,,,134.117.251.29,,,
,,,,,70.27.189.96,,,
,,,,,99.241.40.154,,,
,,,,,184.175.4.55,,,
,,,,,142.177.30.37,,,
,,,,,173.34.78.59,,,
,,,,,173.206.14.86,,,
,,,,,173.248.234.193,,,
,,,,,24.138.133.203,,,
,,,,,206.248.190.63,,,
,,,,,70.81.255.64,,,
,,,,,99.227.212.201,,,
,,,,,99.238.148.206,,,
,,,,,99.238.148.206,,,
,,,,,47.54.153.233,,,
,,,,,69.156.124.208,,,
,,,,,24.138.46.49,,,
,,,,,50.101.205.32,,,
,,,,,174.138.195.136,,,
,,,,,65.95.32.173,,,
,,,,,24.89.230.181,,,
,,,,,216.246.238.214,,,
,,,,,99.247.11.137,,,
,,,,,173.178.187.133,,,
,,,,,99.226.129.198,,,
,,,,,99.242.241.111,,,
,,,,,64.229.156.25,,,
,,,,,99.234.125.189,,,
45.44070053100586,NA,Beaconsfield,0,70.49.73.169,70.49.73.169,-73.8727035522461,QC,CA
,,,,,99.226.80.20,,,
,,,,,173.248.209.176,,,
,,,,,142.177.179.177,,,
,,,,,105.228.146.193,,,
,,,,,142.177.179.177,,,
43.65190124511719,NA,Toronto,0,199.19.95.181,199.19.95.181,-79.38739776611328,ON,CA
,,,,,74.57.137.229,,,
,,,,,216.137.127.18,,,
,,,,,24.215.90.98,,,
,,,,,205.211.159.196,,,
,,,,,147.194.3.229,,,
,,,,,24.215.90.98,,,
,,,,,99.227.238.235,,,
,,,,,76.66.111.110,,,
,,,,,76.66.111.110,,,
,,,,,72.39.80.192,,,
,,,,,173.206.14.86,,,
,,,,,99.226.126.250,,,
,,,,,173.206.14.86,,,
,,,,,173.206.14.86,,,
,,,,,173.206.14.86,,,
,,,,,99.244.158.4,,,
44.23320007324219,NA,Starksboro,523,209.99.213.137,209.99.213.137,-73.02059936523438,VT,US
,,,,,99.224.114.19,,,
43.71099853515625,NA,Boise,757,159.118.93.35,159.118.93.35,-116.25160217285156,ID,US
,,,,,99.240.204.202,,,
,,,,,173.206.14.86,,,
,,,,,74.65.59.26,,,
,,,,,99.250.113.206,,,
,,,,,99.226.126.250,,,
,,,,,70.83.138.120,,,
,,,,,135.19.71.109,,,
,,,,,173.178.187.133,,,
,,,,,47.62.29.95,,,
-10.0,SA,,0,179.108.155.92,179.108.155.92,-55.0,,BR
,,,,,70.83.138.120,,,
,,,,,70.83.239.28,,,
,,,,,135.19.71.109,,,
19.0,NA,,0,186.148.90.234,186.148.90.234,-70.66670227050781,,DO
,,,,,184.161.70.14,,,
,,,,,173.178.187.133,,,
,,,,,76.11.97.42,,,
,,,,,70.80.77.177,,,
,,,,,64.184.196.228,,,
,,,,,67.58.219.30,,,
,,,,,75.152.17.115,,,
,,,,,66.130.34.26,,,
,,,,,96.22.219.206,,,
,,,,,99.199.238.155,,,
,,,,,216.246.232.39,,,
,,,,,24.200.19.162,,,
,,,,,216.246.232.39,,,
,,,,,24.157.249.207,,,
,,,,,142.134.155.163,,,
,,,,,174.95.47.114,,,
,,,,,173.178.187.133,,,
,,,,,99.224.39.218,,,
,,,,,171.33.252.54,,,
,,,,,70.30.185.49,,,
,,,,,47.63.236.252,,,
,,,,,70.81.202.81,,,
,,,,,70.30.185.49,,,
,,,,,76.11.97.42,,,
,,,,,76.11.97.42,,,
,,,,,76.11.97.42,,,
,,,,,76.11.97.42,,,
,,,,,70.30.185.49,,,
43.68579864501953,NA,Brampton,0,209.141.131.72,209.141.131.72,-79.76020050048828,ON,CA
,,,,,24.212.155.43,,,
,,,,,191.183.74.93,,,
,,,,,24.212.155.43,,,
,,,,,66.206.232.140,,,
,,,,,24.212.155.43,,,
,,,,,173.206.84.146,,,
46.88859939575195,NA,Qu�bec,0,65.94.17.41,65.94.17.41,-71.22119903564453,QC,CA
,,,,,216.252.81.96,,,
,,,,,132.205.236.27,,,
,,,,,184.147.36.201,,,
,,,,,99.230.215.47,,,
42.44150161743164,NA,Ridgetown,0,69.157.74.222,69.157.74.222,-81.8833999633789,ON,CA
,,,,,99.251.155.171,,,
,,,,,74.58.178.153,,,
,,,,,47.20.54.109,,,
,,,,,70.36.13.42,,,
,,,,,24.54.38.215,,,
,,,,,142.162.116.68,,,
,,,,,173.178.187.133,,,
,,,,,24.226.251.62,,,
,,,,,105.225.246.13,,,
,,,,,174.119.85.99,,,
,,,,,24.225.153.165,,,
,,,,,64.9.225.99,,,
,,,,,216.246.232.39,,,
,,,,,69.165.207.203,,,
,,,,,96.20.197.166,,,
,,,,,142.68.86.175,,,
,,,,,216.246.232.39,,,
,,,,,99.226.18.105,,,
,,,,,99.226.18.105,,,
43.66189956665039,NA,Toronto,0,142.151.151.156,142.151.151.156,-79.39520263671875,ON,CA
,,,,,24.142.20.172,,,
,,,,,72.53.137.220,,,
,,,,,99.226.18.105,,,
,,,,,184.75.223.18,,,
,,,,,67.230.136.155,,,
,,,,,69.168.140.189,,,
,,,,,184.163.90.77,,,
,,,,,173.206.86.202,,,
,,,,,99.238.90.156,,,
,,,,,216.191.102.150,,,
,,,,,162.253.129.162,,,
,,,,,142.167.248.213,,,
,,,,,99.248.155.138,,,
,,,,,47.55.83.71,,,
,,,,,108.162.114.152,,,
45.45000076293945,NA,Brossard,0,70.52.79.165,70.52.79.165,-73.4832992553711,QC,CA
,,,,,76.64.177.7,,,
,,,,,99.226.126.250,,,
,,,,,76.64.177.7,,,
43.45429992675781,NA,Oakville,0,70.49.101.232,70.49.101.232,-79.69210052490234,ON,CA
,,,,,216.254.166.13,,,
43.25659942626953,NA,Hamilton,0,192.139.232.243,192.139.232.243,-79.86830139160156,ON,CA
,,,,,76.67.179.166,,,
,,,,,76.11.97.42,,,
,,,,,99.234.125.189,,,
,,,,,74.56.34.28,,,
,,,,,184.160.84.113,,,
,,,,,205.209.77.153,,,
,,,,,76.71.227.58,,,
,,,,,70.53.45.135,,,
,,,,,205.209.77.153,,,
,,,,,96.30.169.151,,,
,,,,,99.244.64.73,,,
,,,,,198.255.240.98,,,
,,,,,74.56.34.28,,,
,,,,,76.71.227.58,,,
,,,,,24.157.224.199,,,
,,,,,99.241.40.154,,,
,,,,,99.230.113.110,,,
60.0,NA,,0,216.191.102.166,216.191.102.166,-95.0,,CA
,,,,,99.244.247.98,,,
,,,,,99.192.24.167,,,
,,,,,173.176.52.146,,,
,,,,,99.192.24.167,,,
,,,,,184.151.127.223,,,
,,,,,172.5.36.49,,,
,,,,,70.48.60.84,,,
,,,,,173.178.187.133,,,
,,,,,171.33.254.92,,,
,,,,,142.217.208.155,,,
,,,,,64.25.221.232,,,
,,,,,174.92.203.92,,,
,,,,,173.178.187.133,,,
,,,,,142.177.65.14,,,
,,,,,50.48.133.209,,,
